TiSId;Índice;Ticker;Data;Cotação
62;MSCI All Countries;MXWD Index;06/10/2017;1551,40781
62;MSCI All Countries;MXWD Index;05/10/2017;1541,59575
62;MSCI All Countries;MXWD Index;04/10/2017;1531,51179
62;MSCI All Countries;MXWD Index;03/10/2017;1539,10106
62;MSCI All Countries;MXWD Index;02/10/2017;1540,95993
62;MSCI All Countries;MXWD Index;29/09/2017;1540,28946
62;MSCI All Countries;MXWD Index;28/09/2017;1542,09202
62;MSCI All Countries;MXWD Index;27/09/2017;1541,14547
62;MSCI All Countries;MXWD Index;26/09/2017;1530,99724
62;MSCI All Countries;MXWD Index;25/09/2017;1529,47878
62;MSCI All Countries;MXWD Index;22/09/2017;1521,7902
62;MSCI All Countries;MXWD Index;21/09/2017;1523,63473
62;MSCI All Countries;MXWD Index;20/09/2017;1521,95258
62;MSCI All Countries;MXWD Index;19/09/2017;1527,7122
62;MSCI All Countries;MXWD Index;18/09/2017;1521,51611
62;MSCI All Countries;MXWD Index;15/09/2017;1517,88719
62;MSCI All Countries;MXWD Index;14/09/2017;1516,79715
62;MSCI All Countries;MXWD Index;13/09/2017;1522,16662
62;MSCI All Countries;MXWD Index;12/09/2017;1511,87035
62;MSCI All Countries;MXWD Index;11/09/2017;1494,36936
62;MSCI All Countries;MXWD Index;08/09/2017;1480,95396
62;MSCI All Countries;MXWD Index;07/09/2017;1486,61904
62;MSCI All Countries;MXWD Index;06/09/2017;1484,12888
62;MSCI All Countries;MXWD Index;05/09/2017;1490,32164
62;MSCI All Countries;MXWD Index;04/09/2017;1503,27597
62;MSCI All Countries;MXWD Index;01/09/2017;1503,85762
62;MSCI All Countries;MXWD Index;31/08/2017;1504,05937
62;MSCI All Countries;MXWD Index;30/08/2017;1502,98188
62;MSCI All Countries;MXWD Index;29/08/2017;1504,8834
62;MSCI All Countries;MXWD Index;28/08/2017;1500,27024
62;MSCI All Countries;MXWD Index;25/08/2017;1492,74092
62;MSCI All Countries;MXWD Index;24/08/2017;1485,38589
62;MSCI All Countries;MXWD Index;23/08/2017;1494,2993
62;MSCI All Countries;MXWD Index;22/08/2017;1497,36872
62;MSCI All Countries;MXWD Index;21/08/2017;1484,19483
62;MSCI All Countries;MXWD Index;18/08/2017;1482,94599
62;MSCI All Countries;MXWD Index;17/08/2017;1495,97971
62;MSCI All Countries;MXWD Index;16/08/2017;1505,90129
62;MSCI All Countries;MXWD Index;15/08/2017;1512,54534
62;MSCI All Countries;MXWD Index;14/08/2017;1512,37023
62;MSCI All Countries;MXWD Index;11/08/2017;1489,18009
62;MSCI All Countries;MXWD Index;10/08/2017;1490,71077
62;MSCI All Countries;MXWD Index;09/08/2017;1504,20593
62;MSCI All Countries;MXWD Index;08/08/2017;1499,05337
62;MSCI All Countries;MXWD Index;07/08/2017;1502,01517
62;MSCI All Countries;MXWD Index;04/08/2017;1494,61007
62;MSCI All Countries;MXWD Index;03/08/2017;1493,48543
62;MSCI All Countries;MXWD Index;02/08/2017;1495,97765
62;MSCI All Countries;MXWD Index;01/08/2017;1493,96458
62;MSCI All Countries;MXWD Index;31/07/2017;1494,07222
62;MSCI All Countries;MXWD Index;28/07/2017;1500,50758
62;MSCI All Countries;MXWD Index;27/07/2017;1507,58653
62;MSCI All Countries;MXWD Index;26/07/2017;1509,44352
62;MSCI All Countries;MXWD Index;25/07/2017;1512,7487
62;MSCI All Countries;MXWD Index;24/07/2017;1499,86593
62;MSCI All Countries;MXWD Index;21/07/2017;1491,66467
62;MSCI All Countries;MXWD Index;20/07/2017;1496,45837
62;MSCI All Countries;MXWD Index;19/07/2017;1502,86043
62;MSCI All Countries;MXWD Index;18/07/2017;1497,82255
62;MSCI All Countries;MXWD Index;17/07/2017;1507,34329
62;MSCI All Countries;MXWD Index;14/07/2017;1508,62174
62;MSCI All Countries;MXWD Index;13/07/2017;1511,10792
62;MSCI All Countries;MXWD Index;12/07/2017;1510,24324
62;MSCI All Countries;MXWD Index;11/07/2017;1512,67205
62;MSCI All Countries;MXWD Index;10/07/2017;1517,80892
62;MSCI All Countries;MXWD Index;07/07/2017;1523,03624
62;MSCI All Countries;MXWD Index;06/07/2017;1532,52365
62;MSCI All Countries;MXWD Index;05/07/2017;1541,12475
62;MSCI All Countries;MXWD Index;04/07/2017;1537,24295
62;MSCI All Countries;MXWD Index;03/07/2017;1538,09921
62;MSCI All Countries;MXWD Index;30/06/2017;1537,81314
62;MSCI All Countries;MXWD Index;29/06/2017;1541,22641
